;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage
0;Manhattan;Chelsea and Clinton;10001;40.750742;-73.99653;0.62;39102;399889;35.6;1.9;144041;118909
1;Manhattan;Lower East Side;10002;40.71704;-73.987;0.88;89911;721285;42.1;2.3;44740;42766
2;Manhattan;Lower East Side;10003;40.732509;-73.98935;0.58;96874;1108917;32.9;1.7;204008;148545
3;Manhattan;Lower Manhattan;10004;40.862612;-73.925379;0.56;5419;1796465;35.9;1.9;363621;246647
4;Manhattan;Lower Manhattan;10005;40.706019;-74.00858;0.07;119790;1680524;30.4;2.1;983554;215824
5;Manhattan;Lower Manhattan;10006;40.707904;-74.01342;0.09;39550;1124548;30.9;2;176242;130297
6;Manhattan;Lower Manhattan;10007;40.714754;-74.00721;0.16;43674;2249097;35.7;2.2;476189;349986
7;Manhattan;Lower East Side;10009;40.727093;-73.97864;0.62;98969;685637;37.1;2;69934;63071
8;Manhattan;Gramercy Park and Murray Hill;10010;40.739022;-73.98205;0.39;86020;846784;34.9;1.9;211519;152989
9;Manhattan;Chelsea and Clinton;10011;40.741012;-74.00012;0.66;78152;1100595;40.1;1.7;246235;168767
10;Manhattan;Greenwich Village and Soho;10012;40.72596;-73.99834;0.32;76982;1524662;34.8;1.9;197911;142352
11;Manhattan;Greenwich Village and Soho;10013;40.720666;-74.00526;0.55;54416;2249097;38.1;2.3;373721;237470
12;Manhattan;Greenwich Village and Soho;10014;40.734718;-74.00532;0.57;56648;1206302;37.1;1.7;253188;177048
13;Manhattan;Gramercy Park and Murray Hill;10016;40.74618;-73.97759;0.53;98094;840712;33.6;1.7;202730;132775
14;Manhattan;Gramercy Park and Murray Hill;10017;40.752159;-73.97231;0.32;51940;702842;40.2;1.6;391799;190657
15;Manhattan;Chelsea and Clinton;10018;40.755101;-73.99337;0.32;30646;1098008;32.3;1.9;501354;189841
16;Manhattan;Chelsea and Clinton;10019;40.765714;-73.9856;0.68;62059;1088337;39.9;1.7;292340;151171
17;Manhattan;Chelsea and Clinton;10020;40.758667;-73.98024;0.03;;;;;;
18;Manhattan;Upper East Side;10021;40.76842;-73.96045;0.39;117909;1374760;40.5;1.8;517400;218413
19;Manhattan;Gramercy Park and Murray Hill;10022;40.759015;-73.96732;0.44;71634;1025138;48.1;1.7;423852;223182
20;Manhattan;Upper West Side;10023;40.776099;-73.98285;0.49;127250;1162782;42.9;1.8;320455;210903
21;Manhattan;Upper West Side;10024;40.786387;-73.97709;0.86;69209;1618112;43.4;2;303191;201194
22;Manhattan;Upper West Side;10025;40.798502;-73.96811;0.75;127413;1154123;42;2.1;131910;105222
23;Manhattan;Central Harlem;10026;40.802853;-73.95471;0.33;122449;860729;34.7;2.5;54078;53986
24;Manhattan;Central Harlem;10027;40.812665;-73.95499;0.87;76107;778300;30.9;2.5;50162;47983
25;Manhattan;Upper East Side;10028;40.776777;-73.9541;0.31;161778;1321456;39.1;1.9;339877;198029
26;Manhattan;East Harlem;10029;40.791586;-73.94575;0.83;99449;910097;34.3;2.5;47088;42901
27;Manhattan;Central Harlem;10030;40.818151;-73.94351;0.28;109720;667419;35;2.4;35037;36107
28;Manhattan;Inwood and Washington Heights;10031;40.826201;-73.94879;0.65;97263;426653;35.1;2.8;33193;34632
29;Manhattan;Inwood and Washington Heights;10032;40.840686;-73.94154;0.66;97515;499299;34.9;3;31728;33381
30;Manhattan;Inwood and Washington Heights;10033;40.848764;-73.93496;0.6;102065;566997;36.3;3.1;38106;38764
31;Manhattan;Inwood and Washington Heights;10034;40.867653;-73.92;1.13;39805;375711;36.7;2.8;36610;38518
32;Manhattan;East Harlem;10035;40.802395;-73.93359;1.4;25701;556651;36.8;2.3;39019;39769
33;Manhattan;Chelsea and Clinton;10036;40.759511;-73.99019;0.44;61500;989827;37.4;1.7;197931;114253
34;Manhattan;Central Harlem;10037;40.813385;-73.93616;0.26;81425;516167;34.7;2.2;42259;41361
35;Manhattan;Lower Manhattan;10038;40.709677;-74.00365;0.3;76568;827442;35.9;2.1;111759;100893
36;Manhattan;Central Harlem;10039;40.826181;-73.9371;0.46;59606;429690;33.1;2.4;34344;34669
37;Manhattan;Inwood and Washington Heights;10040;40.858704;-73.92853;0.38;123848;426653;36.9;2.8;36260;37954
38;Manhattan;Upper East Side;10044;40.762174;-73.94917;0.24;50150;733880;41.8;2.2;82915;79384
39;Manhattan;Upper East Side;10065;40.772494;-73.960467;0.39;77655;1491938;40.6;1.9;593608;244640
40;Manhattan;Upper East Side;10075;40.622353;-73.969462;0.18;125463;1035259;42.9;2;400256;209184
41;Manhattan;Upper East Side;10128;40.781894;-73.95039;0.47;135263;1113527;39;2;323582;179457
42;Manhattan;Lower Manhattan;10280;40.707467;-74.0178;0.14;71955;945182;38.5;2.1;184651;164576
43;Staten Island;Stapleton and St. George;10301;40.631775;-74.09432;3.66;10909;489403;38.2;2.6;63214;56554
44;Staten Island;Port Richmond;10302;40.631127;-74.13715;1.19;15750;409898;33.9;3;47143;46069
45;Staten Island;Port Richmond;10303;40.629448;-74.16239;3.14;8345;361767;32.2;3.1;41810;41488
46;Staten Island;Stapleton and St. George;10304;40.60787;-74.08991;3.87;10968;507171;38.6;2.8;62172;54058
47;Staten Island;Stapleton and St. George;10305;40.599021;-74.07503;4.25;10097;474109;39.8;2.8;57344;55720
48;Staten Island;South Shore;10306;40.569394;-74.11785;7.47;7335;524826;43.2;2.7;67141;62335
49;Staten Island;South Shore;10307;40.508274;-74.24387;1.96;8030;726683;38.1;3;82911;74381
50;Staten Island;South Shore;10308;40.551353;-74.15098;1.97;15439;527525;43.3;2.8;69356;64412
51;Staten Island;South Shore;10309;40.529749;-74.21304;6.72;5083;642567;40.7;2.9;76073;70104
52;Staten Island;Port Richmond;10310;40.63212;-74.11551;1.8;13398;479057;36.8;2.9;56068;53258
53;Staten Island;South Shore;10312;40.543117;-74.17628;7.68;8066;552265;42.4;2.9;75396;66475
54;Staten Island;Mid-Island;10314;40.606337;-74.14513;13.71;6661;518754;41.7;2.9;64317;59283
55;Bronx;High Bridge and Morrisania;10451;40.819729;-73.9223;1.01;48231;176442;33.6;2.6;28443;29039
56;Bronx;High Bridge and Morrisania;10452;40.838745;-73.92234;0.98;80364;249425;31.3;3;24210;26004
57;Bronx;Central Bronx;10453;40.853017;-73.91214;0.92;91091;495251;30.3;3;23540;25317
58;Bronx;Hunts Point and Mott Haven;10454;40.805968;-73.91628;1.04;37627;447682;29.6;2.9;23515;25148
59;Bronx;Hunts Point and Mott Haven;10455;40.815559;-73.90771;0.71;60636;326906;31.3;2.9;24964;26396
60;Bronx;High Bridge and Morrisania;10456;40.829676;-73.90856;1.02;94316;408323;30.7;3.1;23501;24944
61;Bronx;Central Bronx;10457;40.846745;-73.89861;1.06;72345;456904;29.6;3;23696;25606
62;Bronx;Bronx Park and Fordham;10458;40.864166;-73.88881;1.01;85638;415970;29.1;3;25762;27607
63;Bronx;Hunts Point and Mott Haven;10459;40.825432;-73.89327;0.82;60728;428790;31.1;3;25885;27412
64;Bronx;Central Bronx;10460;40.84095;-73.88036;1.32;46876;465675;31.9;2.9;26068;27831
65;Bronx;Southeast Bronx;10461;40.842917;-73.83819;2.4;21574;498175;38.5;2.6;46308;47000
66;Bronx;Southeast Bronx;10462;40.842173;-73.85862;1.48;54293;291258;36.1;2.7;38046;39238
67;Bronx;Kingsbridge and Riverdale;10463;40.881086;-73.90749;1.45;51125;308014;39.1;2.5;58769;51906
68;Bronx;Southeast Bronx;10464;40.857017;-73.78903;3.5;1309;556651;45.2;2.3;76969;67014
69;Bronx;Southeast Bronx;10465;40.825727;-73.81752;3.43;13097;504585;42;2.7;55394;53939
70;Bronx;Northeast Bronx;10466;40.89095;-73.84702;2.02;36988;459940;36.6;3.1;35211;36075
71;Bronx;Bronx Park and Fordham;10467;40.872265;-73.86937;2.33;44724;378073;34.2;2.8;31440;32899
72;Bronx;Bronx Park and Fordham;10468;40.867107;-73.89916;1.08;73283;218837;32.3;3;26859;28485
73;Bronx;Northeast Bronx;10469;40.868643;-73.84735;2.48;29911;481531;39.6;3.2;42269;41676
74;Bronx;Northeast Bronx;10470;40.900629;-73.86072;1.42;10392;468037;41.6;2.5;45914;46557
75;Bronx;Kingsbridge and Riverdale;10471;40.900819;-73.90347;2.58;8661;379310;43.2;2.2;135945;90265
76;Bronx;Southeast Bronx;10472;40.830409;-73.86845;1.05;66573;483106;32.7;3.1;27232;29372
77;Bronx;Southeast Bronx;10473;40.818514;-73.85893;2.18;29108;423842;35.8;3;35911;36062
78;Bronx;Hunts Point and Mott Haven;10474;40.81321;-73.88755;1.53;8344;457129;30.1;3.3;25502;26316
79;Bronx;Northeast Bronx;10475;40.878522;-73.82541;1.72;26050;300588;46;2.3;44554;42724
80;Queens;Southeast Queens;11004;40.742944;-73.70956;0.95;16166;572282;44.9;2.9;61829;59558
81;Queens;Southeast Queens;11005;40.756983;-73.7148;0.18;9737;657973;83.8;1.4;113697;69208
82;Queens;Northwest Queens;11101;40.745341;-73.93907;2.62;11205;951480;35.1;2.3;59378;61362
83;Queens;Northwest Queens;11102;40.771286;-73.92462;0.81;42365;629972;33.6;2.5;44049;46130
84;Queens;Northwest Queens;11103;40.762968;-73.91091;0.71;54276;857693;34.1;2.4;43463;45943
85;Queens;Northwest Queens;11104;40.743796;-73.91949;0.39;67071;465788;38.9;2.3;48955;50807
86;Queens;Northwest Queens;11105;40.774686;-73.90816;1.63;23184;857243;35.4;2.5;49700;51171
87;Queens;Northwest Queens;11106;40.762012;-73.93147;0.86;47488;565423;35.9;2.3;44886;46689
88;Brooklyn;Northwest Brooklyn;11201;40.695286;-73.98907;1.42;44108;969698;35.3;2.1;157833;125881
89;Brooklyn;Flatbush;11203;40.649059;-73.93304;2.15;35936;483331;39.8;2.7;36170;36630
90;Brooklyn;Borough Park;11204;40.618944;-73.98473;1.59;51123;884232;34.7;3.3;48256;39720
91;Brooklyn;Northwest Brooklyn;11205;40.694214;-73.96529;0.95;48293;745125;30.2;2.7;53527;50167
92;Brooklyn;Bushwick and Williamsburg;11206;40.702348;-73.94288;1.43;62083;669106;29.4;2.9;31350;31013
93;Brooklyn;East New York and New Lots;11207;40.670874;-73.89424;2.67;35172;487604;34.3;2.8;29215;30155
94;Brooklyn;East New York and New Lots;11208;40.672666;-73.87248;3.46;29224;502223;32.3;3.2;27866;29776
95;Brooklyn;Southwest Brooklyn;11209;40.62327;-74.0295;2.16;31888;819683;40.8;2.3;66054;62799
96;Brooklyn;Flatbush;11210;40.627946;-73.94552;1.64;42655;626261;35.4;3.1;67211;48924
97;Brooklyn;Greenpoint;11211;40.71209;-73.95427;2.3;44838;1026600;30.8;2.6;54060;51448
98;Brooklyn;Central Brooklyn;11212;40.662191;-73.91328;1.54;54649;460727;35.4;2.4;28184;29080
99;Brooklyn;Central Brooklyn;11213;40.670937;-73.93459;1.09;61850;797979;34.3;2.7;34547;32803
100;Brooklyn;Southwest Brooklyn;11214;40.598994;-73.99611;2.18;43786;761656;39.8;2.9;39866;40820
101;Brooklyn;Northwest Brooklyn;11215;40.667508;-73.9856;2.18;33082;1219685;35.8;2.5;104359;91511
102;Brooklyn;Central Brooklyn;11216;40.680398;-73.94824;0.94;62274;1031885;34.5;2.4;37236;38027
103;Brooklyn;Northwest Brooklyn;11217;40.68209;-73.97783;0.75;53641;1189659;35.4;2.3;102611;86378
104;Brooklyn;Borough Park;11218;40.644552;-73.97595;1.43;54732;765367;33.7;3.1;47540;47158
105;Brooklyn;Borough Park;11219;40.632449;-73.99629;1.48;64342;926178;28;3.7;37407;30636
106;Brooklyn;Sunset Park;11220;40.641436;-74.01574;1.79;56878;876023;34;3.5;25773;26577
107;Brooklyn;Bushwick and Williamsburg;11221;40.691234;-73.92637;1.38;62008;745800;31.8;2.8;30619;32026
108;Brooklyn;Greenpoint;11222;40.726302;-73.94559;1.52;24527;851170;35.3;2.1;52822;52659
109;Brooklyn;Southern Brooklyn;11223;40.598142;-73.97229;2.07;39553;787071;36.5;3;63340;48149
110;Brooklyn;Southern Brooklyn;11224;40.576589;-73.99172;1.54;29743;415296;46.2;2.4;36387;36693
111;Brooklyn;Flatbush;11225;40.662892;-73.95509;0.88;68301;792356;35;2.5;38637;37667
112;Brooklyn;Flatbush;11226;40.645256;-73.95553;1.29;80729;586114;34.4;2.8;33386;33680
113;Brooklyn;Southwest Brooklyn;11228;40.617563;-74.01168;1.47;30839;909984;40.7;3;56420;53821
114;Brooklyn;Southern Brooklyn;11229;40.599256;-73.94118;2.17;40318;632221;40.8;2.8;54225;49510
115;Brooklyn;Borough Park;11230;40.622994;-73.96427;1.84;49779;796517;33.8;2.9;64486;51263
116;Brooklyn;Northwest Brooklyn;11231;40.6788;-74.00254;1.42;26884;1276474;36.5;2.4;106346;89204
117;Brooklyn;Sunset Park;11232;40.655481;-74.00424;1.28;22885;730281;33.8;3.1;33077;34941
118;Brooklyn;Central Brooklyn;11233;40.676938;-73.91858;1.35;56446;757046;33.5;2.6;33075;33946
119;Brooklyn;Canarsie and Flatlands;11234;40.618561;-73.9216;7.55;13144;591850;40.7;3.1;60692;53470
120;Brooklyn;Southern Brooklyn;11235;40.583803;-73.95019;2.25;36237;580042;44.7;2.4;52018;50685
121;Brooklyn;Canarsie and Flatlands;11236;40.640527;-73.90362;3.6;28402;552153;38.2;3;39771;40853
122;Brooklyn;Bushwick and Williamsburg;11237;40.703355;-73.91993;0.98;54183;669556;30.5;3.1;28083;29945
123;Brooklyn;Central Brooklyn;11238;40.680145;-73.96257;1.11;50840;930901;35.9;2.2;65446;61615
124;Brooklyn;Canarsie and Flatlands;11239;40.645848;-73.87919;0.57;22072;517292;48.1;1.9;36456;36525
125;Queens;North Queens;11354;40.767969;-73.82496;2.17;26954;532248;44.6;2.8;35618;38322
126;Queens;North Queens;11355;40.749463;-73.81941;1.74;48369;599384;42.6;3;27342;29963
127;Queens;North Queens;11356;40.785462;-73.84366;1.57;15542;673154;38.3;3.2;43305;43272
128;Queens;North Queens;11357;40.784453;-73.80922;2.8;14993;721397;45.2;2.8;72979;65091
129;Queens;North Queens;11358;40.760522;-73.79612;1.95;19237;787296;43.8;2.9;54130;52468
130;Queens;North Queens;11359;40.79278;-73.776701;0.25;24229;380433;45.4;2.1;73237;73237
131;Queens;North Queens;11360;40.780386;-73.78005;1.43;13770;591512;48.8;2.3;84422;73366
132;Queens;Northeast Queens;11361;40.763177;-73.77392;1.76;16777;718474;41.6;2.8;62051;59649
133;Queens;Northeast Queens;11362;40.759686;-73.73322;2.52;7458;586789;49.3;2.6;73584;65553
134;Queens;Northeast Queens;11363;40.772636;-73.74644;0.87;8672;918868;45.7;2.9;106511;87949
135;Queens;Northeast Queens;11364;40.746718;-73.75994;2.47;14750;596123;45.1;2.7;63494;60466
136;Queens;Central Queens;11365;40.738983;-73.79209;2.5;18518;718249;41.6;2.9;53403;49660
137;Queens;Central Queens;11366;40.726137;-73.79502;1.09;13263;776500;40.8;3.2;62381;57503
138;Queens;Central Queens;11367;40.728614;-73.82145;2.38;18578;443409;35.3;2.9;54365;49583
139;Queens;West Queens;11368;40.747106;-73.85838;2.63;44207;582066;32.3;4.1;25808;29305
140;Queens;West Queens;11369;40.762854;-73.87051;1.07;35179;599946;37.2;3.4;32680;34952
141;Queens;West Queens;11370;40.763015;-73.89052;1.42;24121;705204;37.6;3.2;40290;42475
142;Queens;West Queens;11372;40.750146;-73.88433;0.74;88469;335902;40;2.7;37821;40998
143;Queens;West Queens;11373;40.736076;-73.87804;1.53;64152;597022;38.9;3.2;30397;33004
144;Queens;West Central Queens;11374;40.724945;-73.8609;0.93;47089;378635;44.3;2.3;54199;54053
145;Queens;West Central Queens;11375;40.720535;-73.84582;1.98;37375;430364;42.2;2.2;82173;76927
146;Queens;West Queens;11377;40.742869;-73.90377;2.55;35791;542707;39.2;2.9;36968;39114
147;Queens;West Queens;11378;40.724096;-73.90271;2.55;14192;646503;38.7;2.8;48552;49562
148;Queens;West Central Queens;11379;40.716028;-73.87925;2.07;18354;691822;43.5;2.8;60798;59593
149;Queens;West Central Queens;11385;40.703069;-73.89285;3.61;29939;611529;35.7;3.1;39372;41336
150;Queens;Southeast Queens;11411;40.693538;-73.73574;1.17;17349;469386;44.7;3.3;47370;44864
151;Queens;Jamaica;11412;40.697188;-73.75948;1.65;23932;463539;39.8;3.6;40066;39307
152;Queens;Southeast Queens;11413;40.670138;-73.75141;3.1;14041;484343;39.6;3.5;44569;43540
153;Queens;Southwest Queens;11414;40.658188;-73.84321;2.3;12885;558450;45.6;2.8;62800;57787
154;Queens;Southwest Queens;11415;40.706903;-73.82973;0.57;35540;377511;38.9;2.4;59551;56342
155;Queens;Southwest Queens;11416;40.683301;-73.8503;0.67;42019;564635;35.6;3.8;32679;34664
156;Queens;Southwest Queens;11417;40.675534;-73.84476;1.12;29401;517629;38.2;3.6;39792;41242
157;Queens;Southwest Queens;11418;40.698485;-73.83365;1.63;24398;536972;34.6;3.6;38700;40434
158;Queens;Southwest Queens;11419;40.688688;-73.82216;1.13;47074;517629;36.4;4.1;31453;34793
159;Queens;Southwest Queens;11420;40.673138;-73.81443;2.08;24115;509420;38.4;3.8;37671;39484
160;Queens;Southwest Queens;11421;40.69087;-73.85828;1.29;34320;506047;37.8;3.7;36465;38427
161;Queens;Southeast Queens;11422;40.662538;-73.73514;1.97;17135;470511;37.7;3.5;45260;45296
162;Queens;Jamaica;11423;40.714261;-73.76824;1.41;23306;515155;40.2;3.3;45234;42209
163;Queens;Southeast Queens;11426;40.732239;-73.72108;1.35;15873;569696;38.7;3.3;57449;56428
164;Queens;Southeast Queens;11427;40.728235;-73.74782;1.58;15303;535172;42.4;3.1;53802;51352
165;Queens;Southeast Queens;11428;40.719981;-73.74127;0.83;24201;507846;40.3;3.6;43066;43870
166;Queens;Southeast Queens;11429;40.708833;-73.73903;1.3;21554;463651;39.8;3.8;39843;39371
167;Queens;Jamaica;11432;40.714144;-73.79324;2.15;30735;633570;35.4;3.3;42549;41257
168;Queens;Jamaica;11433;40.696538;-73.78734;1.55;23550;436549;34.7;3.5;33185;34386
169;Queens;Jamaica;11434;40.674888;-73.7727;3.24;20907;434075;37.8;3.1;39349;38678
170;Queens;Jamaica;11435;40.700068;-73.80986;1.51;39670;409223;35.7;3.1;37594;39623
171;Queens;Jamaica;11436;40.674146;-73.79687;0.79;26887;430252;36.2;3.7;36718;37582
172;Queens;Rockaways;11691;40.60002;-73.75962;2.83;23402;495588;32.2;3.1;36362;35032
173;Queens;Rockaways;11692;40.592939;-73.79568;1;20567;407424;34.2;3;34610;36813
174;Queens;Rockaways;11693;40.596959;-73.81978;1;12932;349285;38.8;2.6;45904;45315
175;Queens;Rockaways;11694;40.57649;-73.84721;1.37;15605;711276;49.4;2.4;91399;68314
176;Queens;Rockaways;11695;40.651378;-73.870779;;;;;;;
177;Queens;Rockaways;11697;40.560167;-73.90891;2.22;1692;625698;49.5;2.7;90992;78957
