;borough;neighborhood;zip_code;latitude;longitude;landsqmi;density;median_house_value;median_age;avg_household_size;avg_agi;avg_wage;total_population;nb_positive_covid19;perc_pop_positive_covid19;medical_center;arts_entertainment;nightlife_spot;outdoors_recreation;shop_service;food
0;Manhattan;Chelsea and Clinton;10001;40.750741999999995;-73.99653;0.62;39102.0;399889.0;35.6;1.9;144041.0;118909.0;24243.24;266;0.01097213078779899;38.0;46.0;50.0;49.0;50.0;50.0
1;Manhattan;Lower East Side;10002;40.717040000000004;-73.987;0.88;89911.0;721285.0;42.1;2.3;44740.0;42766.0;79121.68000000001;729;0.009213656737319024;42.0;50.0;50.0;48.0;50.0;50.0
2;Manhattan;Lower East Side;10003;40.732509;-73.98935;0.58;96874.0;1108917.0;32.9;1.7;204008.0;148545.0;56186.92;355;0.006318196477044836;50.0;48.0;50.0;48.0;50.0;50.0
3;Manhattan;Lower Manhattan;10004;40.862612;-73.925379;0.56;5419.0;1796465.0;35.9;1.9;363621.0;246647.0;3034.6400000000003;26;0.008567737853583949;33.0;25.0;48.0;35.0;48.0;50.0
4;Manhattan;Lower Manhattan;10005;40.706019;-74.00858000000001;0.07;119790.0;1680524.0;30.4;2.1;983554.0;215824.0;8385.300000000001;44;0.005247277974550701;40.0;47.0;50.0;48.0;50.0;50.0
5;Manhattan;Lower Manhattan;10006;40.707904;-74.01342;0.09;39550.0;1124548.0;30.9;2.0;176242.0;130297.0;3559.5;15;0.004214075010535188;38.0;48.0;50.0;48.0;50.0;50.0
6;Manhattan;Lower Manhattan;10007;40.714754;-74.00721;0.16;43674.0;2249097.0;35.7;2.2;476189.0;349986.0;6987.84;42;0.006010440994642121;49.0;47.0;47.0;48.0;50.0;50.0
7;Manhattan;Lower East Side;10009;40.727092999999996;-73.97864;0.62;98969.0;685637.0;37.1;2.0;69934.0;63071.0;61360.78;530;0.008637439093831597;35.0;44.0;50.0;48.0;50.0;50.0
8;Manhattan;Gramercy Park and Murray Hill;10010;40.739022;-73.98205;0.39;86020.0;846784.0;34.9;1.9;211519.0;152989.0;33547.8;203;0.0060510674321416005;50.0;46.0;50.0;46.0;50.0;50.0
9;Manhattan;Chelsea and Clinton;10011;40.741012;-74.00012;0.66;78152.0;1100595.0;40.1;1.7;246235.0;168767.0;51580.32;403;0.007813057383125967;45.0;43.0;50.0;50.0;50.0;50.0
10;Manhattan;Greenwich Village and Soho;10012;40.72596;-73.99834;0.32;76982.0;1524662.0;34.8;1.9;197911.0;142352.0;24634.24;121;0.004911862513314801;45.0;49.0;50.0;46.0;50.0;50.0
11;Manhattan;Greenwich Village and Soho;10013;40.720665999999994;-74.00525999999999;0.55;54416.0;2249097.0;38.1;2.3;373721.0;237470.0;29928.800000000003;180;0.00601427387666729;49.0;49.0;50.0;48.0;50.0;50.0
12;Manhattan;Greenwich Village and Soho;10014;40.734718;-74.00532;0.57;56648.0;1206302.0;37.1;1.7;253188.0;177048.0;32289.359999999997;236;0.007308909188661529;48.0;49.0;50.0;47.0;50.0;50.0
13;Manhattan;Gramercy Park and Murray Hill;10016;40.746179999999995;-73.97759;0.53;98094.0;840712.0;33.6;1.7;202730.0;132775.0;51989.82;515;0.009905785401834436;50.0;45.0;50.0;46.0;50.0;50.0
14;Manhattan;Gramercy Park and Murray Hill;10017;40.752159000000006;-73.97231;0.32;51940.0;702842.0;40.2;1.6;391799.0;190657.0;16620.8;109;0.006558047747400848;48.0;40.0;50.0;47.0;50.0;50.0
15;Manhattan;Chelsea and Clinton;10018;40.755101;-73.99337;0.32;30646.0;1098008.0;32.3;1.9;501354.0;189841.0;9806.72;169;0.0172330809893624;44.0;50.0;50.0;47.0;50.0;50.0
16;Manhattan;Chelsea and Clinton;10019;40.765714;-73.9856;0.68;62059.0;1088337.0;39.9;1.7;292340.0;151171.0;42200.12;449;0.010639780171241219;48.0;49.0;50.0;48.0;50.0;50.0
17;Manhattan;Upper East Side;10021;40.76842;-73.96045;0.39;117909.0;1374760.0;40.5;1.8;517400.0;218413.0;45984.51;438;0.009524946552654361;50.0;45.0;46.0;47.0;50.0;50.0
18;Manhattan;Gramercy Park and Murray Hill;10022;40.759015000000005;-73.96732;0.44;71634.0;1025138.0;48.1;1.7;423852.0;223182.0;31518.96;254;0.008058641528781406;50.0;42.0;50.0;48.0;50.0;50.0
19;Manhattan;Upper West Side;10023;40.776099;-73.98285;0.49;127250.0;1162782.0;42.9;1.8;320455.0;210903.0;62352.5;439;0.007040615853414057;44.0;50.0;48.0;49.0;50.0;50.0
20;Manhattan;Upper West Side;10024;40.786387;-73.97709;0.86;69209.0;1618112.0;43.4;2.0;303191.0;201194.0;59519.74;484;0.00813175595189092;40.0;39.0;47.0;46.0;50.0;50.0
21;Manhattan;Upper West Side;10025;40.798502;-73.96811;0.75;127413.0;1154123.0;42.0;2.1;131910.0;105222.0;95559.75;901;0.009428655893302358;38.0;41.0;47.0;48.0;50.0;50.0
22;Manhattan;Central Harlem;10026;40.802853000000006;-73.95470999999999;0.33;122449.0;860729.0;34.7;2.5;54078.0;53986.0;40408.170000000006;443;0.010963129485943064;35.0;44.0;31.0;46.0;49.0;50.0
23;Manhattan;Central Harlem;10027;40.812665;-73.95499000000001;0.87;76107.0;778300.0;30.9;2.5;50162.0;47983.0;66213.09;667;0.010073536818777073;38.0;43.0;33.0;45.0;49.0;50.0
24;Manhattan;Upper East Side;10028;40.776777;-73.9541;0.31;161778.0;1321456.0;39.1;1.9;339877.0;198029.0;50151.18;379;0.007557150200653304;50.0;45.0;48.0;47.0;50.0;50.0
25;Manhattan;East Harlem;10029;40.791585999999995;-73.94575;0.83;99449.0;910097.0;34.3;2.5;47088.0;42901.0;82542.67;1202;0.014562165241323064;41.0;42.0;30.0;44.0;49.0;50.0
26;Manhattan;Central Harlem;10030;40.818151;-73.94351;0.28;109720.0;667419.0;35.0;2.4;35037.0;36107.0;30721.600000000002;360;0.011718139680224988;39.0;45.0;34.0;45.0;48.0;50.0
27;Manhattan;Inwood and Washington Heights;10031;40.826201;-73.94879;0.65;97263.0;426653.0;35.1;2.8;33193.0;34632.0;63220.950000000004;841;0.013302552397583395;31.0;48.0;41.0;46.0;44.0;50.0
28;Manhattan;Inwood and Washington Heights;10032;40.840686;-73.94154;0.66;97515.0;499299.0;34.9;3.0;31728.0;33381.0;64359.9;968;0.01504042113179169;42.0;16.0;19.0;47.0;48.0;50.0
29;Manhattan;Inwood and Washington Heights;10033;40.848764;-73.93496;0.6;102065.0;566997.0;36.3;3.1;38106.0;38764.0;61239.0;817;0.013341171475693595;44.0;32.0;36.0;45.0;50.0;50.0
30;Manhattan;Inwood and Washington Heights;10034;40.867653000000004;-73.92;1.13;39805.0;375711.0;36.7;2.8;36610.0;38518.0;44979.649999999994;458;0.01018238247740923;38.0;28.0;42.0;44.0;48.0;50.0
31;Manhattan;East Harlem;10035;40.802395000000004;-73.93359;1.4;25701.0;556651.0;36.8;2.3;39019.0;39769.0;35981.399999999994;664;0.018453979000261248;21.0;24.0;13.0;45.0;44.0;45.0
32;Manhattan;Chelsea and Clinton;10036;40.759510999999996;-73.99019;0.44;61500.0;989827.0;37.4;1.7;197931.0;114253.0;27060.0;309;0.011419068736141907;45.0;50.0;50.0;47.0;50.0;50.0
33;Manhattan;Central Harlem;10037;40.813385;-73.93616;0.26;81425.0;516167.0;34.7;2.2;42259.0;41361.0;21170.5;304;0.01435960416617463;26.0;18.0;9.0;46.0;46.0;48.0
34;Manhattan;Lower Manhattan;10038;40.709677;-74.00365;0.3;76568.0;827442.0;35.9;2.1;111759.0;100893.0;22970.399999999998;171;0.007444363180440916;42.0;46.0;48.0;48.0;50.0;50.0
35;Manhattan;Central Harlem;10039;40.826181;-73.9371;0.46;59606.0;429690.0;33.1;2.4;34344.0;34669.0;27418.760000000002;339;0.012363797633445129;15.0;25.0;15.0;49.0;45.0;48.0
36;Manhattan;Inwood and Washington Heights;10040;40.858703999999996;-73.92853000000001;0.38;123848.0;426653.0;36.9;2.8;36260.0;37954.0;47062.24;644;0.013684006541125115;28.0;21.0;18.0;43.0;47.0;46.0
37;Manhattan;Upper East Side;10044;40.762174;-73.94917;0.24;50150.0;733880.0;41.8;2.2;82915.0;79384.0;12036.0;124;0.01030242605516783;50.0;8.0;0.0;49.0;33.0;40.0
38;Manhattan;Upper East Side;10065;40.772494;-73.96046700000001;0.39;77655.0;1491938.0;40.6;1.9;593608.0;244640.0;30285.45;252;0.008320827327974324;50.0;44.0;49.0;44.0;50.0;50.0
39;Manhattan;Upper East Side;10075;40.622353000000004;-73.969462;0.18;125463.0;1035259.0;42.9;2.0;400256.0;209184.0;22583.34;309;0.013682652787408772;22.0;18.0;5.0;11.0;35.0;33.0
40;Manhattan;Upper East Side;10128;40.781894;-73.95039;0.47;135263.0;1113527.0;39.0;2.0;323582.0;179457.0;63573.60999999999;501;0.00788062845573816;40.0;41.0;50.0;48.0;50.0;50.0
41;Manhattan;Lower Manhattan;10280;40.707467;-74.0178;0.14;71955.0;945182.0;38.5;2.1;184651.0;164576.0;10073.7;33;0.0032758569343935193;38.0;45.0;48.0;49.0;49.0;50.0
42;Staten Island;Stapleton and St. George;10301;40.631775;-74.09432;3.66;10909.0;489403.0;38.2;2.6;63214.0;56554.0;39926.94;848;0.021238792654783963;9.0;1.0;3.0;9.0;5.0;8.0
43;Staten Island;Port Richmond;10302;40.631127;-74.13715;1.19;15750.0;409898.0;33.9;3.0;47143.0;46069.0;18742.5;450;0.024009603841536616;5.0;8.0;9.0;3.0;40.0;41.0
44;Staten Island;Port Richmond;10303;40.629448;-74.16239;3.14;8345.0;361767.0;32.2;3.1;41810.0;41488.0;26203.3;638;0.024348078295481867;9.0;0.0;2.0;5.0;41.0;26.0
45;Staten Island;Stapleton and St. George;10304;40.60787;-74.08991;3.87;10968.0;507171.0;38.6;2.8;62172.0;54058.0;42446.16;1035;0.024383831187556188;28.0;3.0;8.0;14.0;31.0;18.0
46;Staten Island;Stapleton and St. George;10305;40.599021;-74.07503;4.25;10097.0;474109.0;39.8;2.8;57344.0;55720.0;42912.25;914;0.021299279343311057;7.0;2.0;3.0;7.0;26.0;25.0
47;Staten Island;South Shore;10306;40.569394;-74.11785;7.47;7335.0;524826.0;43.2;2.7;67141.0;62335.0;54792.45;1124;0.020513775164279022;39.0;6.0;6.0;12.0;36.0;45.0
48;Staten Island;South Shore;10307;40.508274;-74.24387;1.96;8030.0;726683.0;38.1;3.0;82911.0;74381.0;15738.8;311;0.01976008336086614;5.0;6.0;7.0;12.0;21.0;32.0
49;Staten Island;South Shore;10308;40.551353000000006;-74.15098;1.97;15439.0;527525.0;43.3;2.8;69356.0;64412.0;30414.829999999998;519;0.017064044086388123;13.0;4.0;15.0;12.0;36.0;28.0
50;Staten Island;South Shore;10309;40.529749;-74.21304;6.72;5083.0;642567.0;40.7;2.9;76073.0;70104.0;34157.76;688;0.02014183599861349;0.0;0.0;0.0;4.0;1.0;4.0
51;Staten Island;Port Richmond;10310;40.63212;-74.11551;1.8;13398.0;479057.0;36.8;2.9;56068.0;53258.0;24116.4;534;0.0221426083495049;17.0;5.0;4.0;11.0;34.0;42.0
52;Staten Island;South Shore;10312;40.543116999999995;-74.17628;7.68;8066.0;552265.0;42.4;2.9;75396.0;66475.0;61946.88;1224;0.019758864368956113;5.0;4.0;3.0;10.0;29.0;20.0
53;Staten Island;Mid-Island;10314;40.606336999999996;-74.14513000000001;13.71;6661.0;518754.0;41.7;2.9;64317.0;59283.0;91322.31000000001;2030;0.022228960261736697;18.0;3.0;2.0;9.0;10.0;12.0
54;Bronx;High Bridge and Morrisania;10451;40.819728999999995;-73.9223;1.01;48231.0;176442.0;33.6;2.6;28443.0;29039.0;48713.31;1108;0.02274532360868108;41.0;15.0;10.0;28.0;40.0;45.0
55;Bronx;High Bridge and Morrisania;10452;40.838745;-73.92234;0.98;80364.0;249425.0;31.3;3.0;24210.0;26004.0;78756.72;1488;0.018893625839166487;16.0;6.0;14.0;19.0;46.0;43.0
56;Bronx;Central Bronx;10453;40.853017;-73.91214000000001;0.92;91091.0;495251.0;30.3;3.0;23540.0;25317.0;83803.72;1547;0.01845980106849672;19.0;3.0;10.0;8.0;42.0;45.0
57;Bronx;Hunts Point and Mott Haven;10454;40.805968;-73.91628;1.04;37627.0;447682.0;29.6;2.9;23515.0;25148.0;39132.08;747;0.019089197405300202;5.0;6.0;5.0;15.0;40.0;43.0
58;Bronx;Hunts Point and Mott Haven;10455;40.815559;-73.90771;0.71;60636.0;326906.0;31.3;2.9;24964.0;26396.0;43051.56;831;0.019302436427390785;10.0;4.0;5.0;17.0;41.0;43.0
59;Bronx;High Bridge and Morrisania;10456;40.829676;-73.90856;1.02;94316.0;408323.0;30.7;3.1;23501.0;24944.0;96202.32;1596;0.016590036498080295;25.0;6.0;6.0;12.0;40.0;37.0
60;Bronx;Central Bronx;10457;40.846745;-73.89860999999999;1.06;72345.0;456904.0;29.6;3.0;23696.0;25606.0;76685.7;1362;0.017760808077646812;12.0;2.0;10.0;19.0;40.0;43.0
61;Bronx;Bronx Park and Fordham;10458;40.864166;-73.88880999999999;1.01;85638.0;415970.0;29.1;3.0;25762.0;27607.0;86494.38;1342;0.015515458923458379;29.0;10.0;18.0;31.0;45.0;42.0
62;Bronx;Hunts Point and Mott Haven;10459;40.825432;-73.89327;0.82;60728.0;428790.0;31.1;3.0;25885.0;27412.0;49796.96;996;0.02000122095806652;21.0;7.0;4.0;20.0;43.0;42.0
63;Bronx;Central Bronx;10460;40.84095;-73.88036;1.32;46876.0;465675.0;31.9;2.9;26068.0;27831.0;61876.32;1097;0.01772891471244573;15.0;11.0;7.0;11.0;40.0;40.0
64;Bronx;Southeast Bronx;10461;40.842917;-73.83819;2.4;21574.0;498175.0;38.5;2.6;46308.0;47000.0;51777.6;1328;0.02564815673186861;36.0;5.0;11.0;14.0;42.0;37.0
65;Bronx;Southeast Bronx;10462;40.842172999999995;-73.85862;1.48;54293.0;291258.0;36.1;2.7;38046.0;39238.0;80353.64;1611;0.020048873952692125;22.0;22.0;7.0;34.0;45.0;43.0
66;Bronx;Kingsbridge and Riverdale;10463;40.881085999999996;-73.90749;1.45;51125.0;308014.0;39.1;2.5;58769.0;51906.0;74131.25;1261;0.01701037012056319;39.0;9.0;23.0;42.0;46.0;47.0
67;Bronx;Southeast Bronx;10464;40.857017;-73.78903000000001;3.5;1309.0;556651.0;45.2;2.3;76969.0;67014.0;4581.5;103;0.022481719960711556;0.0;1.0;4.0;9.0;9.0;16.0
68;Bronx;Southeast Bronx;10465;40.825727;-73.81752;3.43;13097.0;504585.0;42.0;2.7;55394.0;53939.0;44922.71;1128;0.025109794133078792;22.0;5.0;16.0;16.0;35.0;45.0
69;Bronx;Northeast Bronx;10466;40.89095;-73.84702;2.02;36988.0;459940.0;36.6;3.1;35211.0;36075.0;74715.76;1727;0.02311426665538837;4.0;4.0;1.0;2.0;40.0;21.0
70;Bronx;Bronx Park and Fordham;10467;40.872265000000006;-73.86936999999999;2.33;44724.0;378073.0;34.2;2.8;31440.0;32899.0;104206.92;2372;0.022762403878744328;7.0;4.0;5.0;10.0;36.0;41.0
71;Bronx;Bronx Park and Fordham;10468;40.867107;-73.89916;1.08;73283.0;218837.0;32.3;3.0;26859.0;28485.0;79145.64;1666;0.021049801353555293;36.0;11.0;14.0;21.0;47.0;48.0
72;Bronx;Northeast Bronx;10469;40.868643;-73.84735;2.48;29911.0;481531.0;39.6;3.2;42269.0;41676.0;74179.28;2131;0.028727698624198026;9.0;3.0;7.0;9.0;36.0;32.0
73;Bronx;Northeast Bronx;10470;40.900628999999995;-73.86072;1.42;10392.0;468037.0;41.6;2.5;45914.0;46557.0;14756.64;336;0.0227694109228117;10.0;7.0;17.0;12.0;42.0;43.0
74;Bronx;Kingsbridge and Riverdale;10471;40.900819;-73.90347;2.58;8661.0;379310.0;43.2;2.2;135945.0;90265.0;22345.38;414;0.01852731974126195;7.0;3.0;4.0;11.0;38.0;19.0
75;Bronx;Southeast Bronx;10472;40.830409;-73.86845;1.05;66573.0;483106.0;32.7;3.1;27232.0;29372.0;69901.65000000001;1287;0.018411582559209973;11.0;6.0;18.0;9.0;44.0;40.0
76;Bronx;Southeast Bronx;10473;40.818514;-73.85893;2.18;29108.0;423842.0;35.8;3.0;35911.0;36062.0;63455.44;1371;0.021605712607146055;12.0;2.0;4.0;10.0;42.0;24.0
77;Bronx;Hunts Point and Mott Haven;10474;40.81321;-73.88755;1.53;8344.0;457129.0;30.1;3.3;25502.0;26316.0;12766.32;230;0.018016155007864444;0.0;4.0;7.0;7.0;32.0;30.0
78;Bronx;Northeast Bronx;10475;40.878522;-73.82540999999999;1.72;26050.0;300588.0;46.0;2.3;44554.0;42724.0;44806.0;1285;0.02867919475070303;8.0;5.0;1.0;11.0;31.0;17.0
79;Queens;Southeast Queens;11004;40.742944;-73.70956;0.95;16166.0;572282.0;44.9;2.9;61829.0;59558.0;15357.699999999999;415;0.027022275470936406;7.0;4.0;0.0;7.0;28.0;10.0
80;Queens;Northwest Queens;11101;40.745340999999996;-73.93907;2.62;11205.0;951480.0;35.1;2.3;59378.0;61362.0;29357.100000000002;440;0.014987856429960724;10.0;34.0;14.0;46.0;40.0;50.0
81;Queens;Northwest Queens;11102;40.771285999999996;-73.92461999999999;0.81;42365.0;629972.0;33.6;2.5;44049.0;46130.0;34315.65;405;0.011802195208308745;30.0;15.0;36.0;45.0;46.0;50.0
82;Queens;Northwest Queens;11103;40.762968;-73.91091;0.71;54276.0;857693.0;34.1;2.4;43463.0;45943.0;38535.96;377;0.00978307015058143;42.0;17.0;48.0;36.0;50.0;50.0
83;Queens;Northwest Queens;11104;40.743796;-73.91949;0.39;67071.0;465788.0;38.9;2.3;48955.0;50807.0;26157.690000000002;330;0.012615792908318739;42.0;15.0;44.0;45.0;50.0;50.0
